accession	cancer	sample	title	description
GSE27842	breast	11	Suppression of breast tumor growth and metastasis by an engineered transcription factor	Abstract Maspin is a tumor and metastasis suppressor playing an essential role as gatekeeper of tumor progression. It is highly expressed in epithelial cells but is silenced in the onset of metastatic disease by epigenetic mechanisms. Reprogramming of Maspin epigenetic silencing offers a therapeutic potential to lock metastatic progression. Herein we have investigated the ability of the Artificial Transcription Factor 126 (ATF-126) designed to upregulate the Maspin promoter to inhibit tumor progression in pre-established breast tumors in immunodeficient mice. more...
GSE45898	breast	10	Gene Expression analysis of therapeutical response in Triple Negative Breast tumors.	10 biopsies before treatment from triple negative patients with complete response were collected. Total RNA was extracted from tumor specimens and the whole transcriptome was quantified with Affymetrix HuGene1.1ST. The biopsies were classified into Good (major or complete) or Poor (absent or minor) therapeutic response subgroup.
GSE46440	breast	10	Insights into the invasiveness of triple negative breast cancer from genome-wide profiling of transcription factor AP-1 (expression)	Triple negative breast cancer (TNBC) is an aggressive clinical phenotype, and accounts for 15% to 20% of all breast cancers. The molecular determinants of malignant cell behaviors in TNBC remain largely unknown. We find that the AP-1 transcription factor component, Fra-1, is overexpressed in basal-like breast tumors, and its expression level has high prognostic significance. Depletion of Fra-1 or its heterodimeric partner c-Jun inhibits the proliferative and invasive phenotypes in TNBC cells. more...
GSE35535	breast	10	TIMP1 overexpression mediates resistance of MCF-7 human breast cancer cells to fulvestrant and down-regulates progesterone receptor expression	High levels of Tissue Inhibitor of Metalloproteinases-1 (TIMP1) are associated with poor prognosis, reduced response to chemotherapy, and, potentially, also poor response to endocrine therapy in breast cancer patients. Our objective was to further investigate the hypothesis that TIMP1 is associated with endocrine sensitivity. We established a panel of 11 MCF-7 subclones with a wide range of TIMP1 mRNA and protein expression levels. more...
GSE39494	breast	10	ABCC5 supports osteoclast formation and promotes breast cancer metastasis to bone	Bone is the primary site of breast cancer metastasis and complications associated with bone metastases can lead to a significantly decreased quality of life in these patients. Thus, it is essential to gain a better understanding of the molecular mechanisms that underlie the emergence and growth of breast cancer skeletal metastases. Methods: To search for novel molecular mediators that influence breast cancer bone metastasis, we generated gene expression profiles from laser capture micro-dissected trephine biopsies of both breast cancer bone metastases and primary breast tumors that metastasized to bone. more...
GSE15350	ovarian	10	Resistance of primary ovarian cancer cells to oncolytic adenoviruses part1 of 2	The mechanisms of primary ovarian cancer cells for resistance to viral oncolysis were investigated using Ad5/35.IR.E1A/TRAIL on clonal cultures derived from ovc316m cells. Part 1 of 2, initital study involving 5 clonal ovc316m cultures
GSE3001	ovarian	10	Chemosensitivity prediction of Paclitaxel-Platinum combination therapy by expression profile in ovarian cancer	Ten human ovarian cancer cell lines were kindly provided as follows: an ovarian serous adenocarcinoma cell line, SKOV3 (Dr. N. Nagai, Hiroshima University, Hiroshima, Japan); KF28 and its TXL/CDDP-resistant variant (Dr. Y. Kikuchi, National Defense Medical College, Saitama, Japan); KF, SHIN3 and 5 ovarian clear cell adenocarcinoma cell lines, KK, TAYA, RMG-1, OVISE and OVTOKO (Dr. M. Suzuki, Jichi Medical School, Tochigi, Japan). more...
GSE2155	breast	10	Microarray Analysis of Gene Expression in Human Normal and Breast Cancer Cells	Differential gene expression between normal breast epithelial cells and the malignant counterpart was studied using microarray technique. We utilized GeneAlbum GEM 1-6 from Incyte Pharmaceuticals, Inc., which contains which contains 65,873 cDNA clones (57,172 clones excluding controls), representing 33,515 individual genes. The normal human mammary epithelial cells (HMEC) from 3 donors were used to search different gene expression patterns among individuals, ages and races. more...
GSE46926	ovarian	9	Genome-wide analysis of the effects of the novel mithramycin analogue DIG-MSK on human A2780 ovarian carcinoma cells	The effects of demycarosyl-3D-β-D-digitoxosyl-mithramycin SK (DIG-MSK; EC-8042), a novel analogue of the antitumor antibiotic mithramycin A, on gene transcription were examined in human A2780 ovarian carcinoma cells. DIG-MSK down-regulated a different set of genes depending on the drug concentration. Moreover, several genes were significantly up-regulated. These results are rationalized in terms of DIG-MSK competition with Sp1 transcription factor for binding to consensus C/G-rich tracts encompassed in gene promoters.
GSE28478	ovarian	9	Hey3Met2 human ovarian cancer cells overexpressing wild type or catalytically-dead mutant RNASET2	Hey3Met2 cells were stably transfected with plasmids encoding either wild-type RNASET2 or a catalytically dead form (whose cDNA has been previously mutagenized in the two CAS catalytic sites) or with the empty vector as a control. The control of ovarian tumorigenesis by RNASET2 occurs through modification of the cellular microenvironment and involvement of immunocompetent cells, thus providing evidence for specific modulations of cellular responses induced by RNASET2 that might underlay ovarian tumorigenesis. more...
GSE54091	breast	8	Docetaxel-loaded solid lipid nanoparticles suppress breast cancer cells growth with reduced myelosuppression toxicity	Docetaxel is an adjuvant chemotherapy drug widely used to treat multiple solid tumors, however its toxicity and side-effect limits its clinical efficacy. Herein, the docetaxel-loaded solid lipid nanoparticles (DSNs) were developed to reduce systemic toxicity while still keeping its anti-cancer activity. To evaluate its anti-cancer activity and toxicity and understand the molecular mechanisms of DSNs, different cellular, molecular and whole genome transcription analysis approaches were utilized. more...
GSE55432	breast	8	Genome-wide analysis of gene expression in MDA-MB-231 breast cancer cells in response to conditional miRNA mediated BSP knockdown.	Our goal was to identify the genes, which are modulated following conditional BSP knockdown for 3 and 6 days. Thus, to elucidate the BSP relevance and to broaden the knowledge on the affected signalling pathways.
GSE36102	breast	8	Cancer stem cells from lobular infiltrating breast tumor metastasize to bone and acquire a gene signature associated to bone tropism	We investigated the role of breast cancer stem-like cells (CSCs-like), isolated from primary tumor, in promoting bone metastases in a human-in-mice model. Luciferase-transduced CD44+CD24- breast CSCs-like were injected through subcutaneous (SC) and intracardiac (IC) route in nonobese/severe combined immunodeficient (NOD/SCID) mice carrying subcutaneous human bone implants. The implanted bone was viable, active and human neo-vascularization was present. more...
GSE45047	breast	8	Support of a bi-faceted role of ERβ in ERα-positive breast cancer cells	Comparison of the basal and estrogen-induced effects on genome-wide transcription in ERα-positive breast cancer cell lines T47D and MCF7 after lentiviral transduction with ERβ.
GSE45362	breast	8	miR-18a modulates gene transcription in breast cancer cells treated with Cobalt(II) chloride	Using the orthotopic breast cancer xenograft model of basal-like breast cancer MDA-MB-231 line, we have found that the expression of miRNAs encoded by MIR17HG was significantly decreased in cells isolated from spontaneous lung metastases compared to cells from primary tumors grown in orthotopic sites. We investigated the role of a MIR17HG family member, miR-18a, in primary tumor growth and pulmonary metastasis from the orthotopic site. more...
GSE39417	breast	8	Expression profile of the endocrine therapy sensitive breast cancer cells MCF7 depleted of PBX1	Effect of PBX1 silencing on global gene expression of MCF7 cells stimulated with EGF. The hypothesis tested was that PBX1 is essential for EGF signaling in ERa positive breast cancer cells.
GSE43015	breast	8	RHBDD2 silencing and gene expression profiling of breast cancer cells	In previous studies, we identified a distantly related rhomboid homologue gene known as RHBDD2 (Rhomboid domain containing 2) to be markedly overexpressed in the advanced stages of the breast and colorectal cancer diseases. In order to identify RHBDD2 modulated pathways, we analyzed two breast cancer cell lines (MCF7 and T47D) from control and RHBDD2-siRNA transient gene silencing followed by gene expression profiling analysis using the whole genome Toray 3D-GeneTM Human Oligo Chip. more...
GSE37087	breast	8	Examination of the role of peptidylarginine deiminase 2 (PAD2) in gene expression in MCF-7 breast cancer cells	To investigate the potential role of peptidylarginine deiminase 2 (PAD2) in gene expression, we created stable shRNA scrambled control and PAD2 knockdown MCF-7 breast cancer cell lines.  After validating the specific knockdown of PAD2 at the mRNA and protein level, we utilized an Agilent microarray platform to compare the gene expression profile of the two cell lines to generate a candidate list of genes regulated by PAD2.
GSE33487	breast	8	Chemokine expressions in breast cancer patients	Our aim was to evaluate the expression of chemokines in breast cancers before treatment to identify a molecular signature that could distinguish between women with or without cancer. We identified a panel of chemokines clearly deregulated in breast cancer that could be further investigated for prospective novel markers or therapeutically approaches. Samples for gene expression were obtained during surgical resection and after macroscopic pathological assessment. more...
GSE28006	breast	8	The pioneer factor PBX1 guides a distinct ERa signaling in breast cancer [mRNA profiling]	Effect of PBX1 silencing on global gene expression of MCF7 cells stimulated with estradiol. The hypothesis tested was that PBX1 is essential for estrogen signaling in ERa positive breast cancer cells.
GSE18390	breast	8	Effects of retinoids on estrogen-receptor-positive and -negative breast carcinoma cells:  mRNA profiling	The overall study explores differential sensitivity of estrogen-receptor-positive and -negative breast carcinoma cells to retinoids via gene expression and microRNA profiling in MCF7 and MDA-MB-231 cells. This Series reports results of transcriptional profiling of breast carcinoma cell lines comparing the effects of retinoic acid treatment (6 and 48 hours) on estrogen-receptor-positive (MCF7) and estrogen-receptor-negative (MDA-MB-231) cells.
GSE19992	ovarian	7	Gene expression profiles of oxaliplatin resistant colorectal cancer and ovarian cancer cell lines	Oxaliplatin resistance was induced in 2 colorectal cancer cell lines (LoVo-92, wt-p53 and LoVo-Li, functionally inactive p53) and one ovarian cancer cell line (A2780, wt-p53). Resistance was induced by weekly exposure to oxaliplatin for 4 hrs or 72 hrs with increasing concentrations for a period of 7 months.
GSE34291	breast	7	Gene expression profiling of Akt3 over-expressing breast cancer cells after estrogen and tamoxifen treatment	The aim of this study is to identify the differentially expressed genes in upon Akt3 over-expression after estrogen and tamoxifen treatment.
GSE103388	breast	6	MiR-1287-5p has inhibitory effects on breast cancer growth mediated by interaction with phosphoinositide 3-kinase CB (miR-1287-5p overexpression study)	Background: Non-coding RNAs and especially microRNAs have been discovered as master regulators of cancer initiation and progression. The aim of our study was to discover and characterize the function of yet uncharacterized microRNAs in human breast carcinogenesis.   Methods:   In an unbiased approach, we made use of a commonly used model system for breast cancer (BC) stem cells (“mammospheres”) to identify whole miRNome alterations with a special focus on previously uncharacterized miRNAs in BC. more...
GSE55649	breast	6	Role of Ubc13 in Breast Cancer Metastasis	We recently found that Ubc13 controls breast cancer metastasis. However, the underlying molecular mechanisms remain elusive. In order to gain a better understanding of the signaling pathways controlled by Ubc13 in metastasis, we performed a gene array analysis on xenografts derived from orthotopically implanted MDA-MB-231 LM2 cells, which preferentially metastazize to lung in NOD/SCID mice.
GSE55350	breast	6	Modeling Luminal breast cancer heterogeneity: Combination therapy to suppress hormone receptor negative cells in Luminal disease	Many Luminal breast cancers are heterogeneous, containing substantial numbers of estrogen (ER-) and progesterone (PR-) receptor-negative cells among the ER+PR+ ones. Currently, the Basal-like ER-PR- Luminobasal subpopulation in Luminal disease is not targeted for treatment. To address the relationships between ER+PR+ and ER-PR- cells in Luminal cancers and tightly control their ratios, we have generated isogenic pure Luminal (pLUM) and pure Luminobasal (pLB) cells from the same parental Luminal human breast cancer cell line. more...
GSE56615	breast	6	Expression data from human breast cancer cells MDA-MB-231-Luc knockdown for RRAS2 expression.	We used microarrays to investigate gene expression changes induced by the inhibition of RRAS2 expression using shRNA techniques to stably knockdown the endogenous transcripts of this GTPase in human MDA-MB-231-Luc cells.
GSE53658	breast	6	shRNA kinome screen identifies TBK1 as therapeutic target for HER2+ breast cancer	Microarray analysis was performed at the UHN Microarray Centre (UHNMAC, Ontario, Canada) using Illumina HumanHT-12 v4 BeadChip with 500 ng of total RNA prepared by RNeasy mini kit (QIAGEN, Cat. No. 74104). Samples from HCC1954 cells with 3-day treatment of TBK1-II at 4 uM were used to compare with vehicle-treated controls.  Microarray data was processed and normalized by lumi package from BioConductor in R with Quantile Method. more...
GSE40411	breast	6	The miRNA miR-139-5p is a regulator of metastatic pathways in breast cancer.	Whole transcriptome Identification of  direct targets of miR-139-5p using biotinylated pull-downs found that this miRNA has roles in breast cancer invasion and migration.
GSE48160	breast	6	Identification of miRNA targets in breast cancer cells (DICER1 and DROSHA knockdown)	miRNAs regulate mRNA stability and translation through the action of the RNAi-induced silencing complex. In this study, we systematically identified endogenous miRNA target genes by using AGO2 immunoprecipitation (AGO2-IP) and microarray analyses in two breast cancer cell lines, MCF7 and MDA-MB-231, representing luminal and basal-like breast cancer, respectively. The expression levels of ~70% of the AGO2-IP mRNAs were increased by DROSHA or DICER1 knockdown. more...
GSE49858	breast	6	Gene expression of SCP-1 cells after incubation with conditioned medium of the breast carcinoma cell line MCF-7.	Disseminated tumor cells (DTCs) in the bone marrow can be detected in patients with solid tumors early on in disease progression. Via interaction with mesenchymal stromal cells (MSCs) these tumor cells may interfere with hematopoiesis. Using appropriate co-culture models, we investigated whether DTCs can change the bone marrow microenvironment by modulating MSC function with a special emphasis on their chemoattractive activity towards hematopoietic stem and progenitor cells (HSPCs). more...
GSE36364	ovarian	6	Overexpression of CD157 contributes to epithelial ovarian cancer progression by promoting mesenchymal differentiation.	Epithelial ovarian carcinoma (EOC) is an aggressive tumor often diagnosed at an advanced stage, when there is little prospect for cure. Despite some advances in surgical and chemotherapeutic strategies, only marginal improvements in patient outcome have been obtained. Hence, understanding the biological mechanisms underpinning EOC progression is critical for its treatment and to ameliorate patients survival. more...
GSE42024	breast	6	Characterization of gene expression profiles induced by HIC-1 reactivation on breast cancer	To explore the molecular mechanisms and signal pathways induced by restoring tumor suppressor gene HIC-1 on breast cancer cells.  We have employed whole genome microarray expression profiling as a discovery platform to identify the differential genes induced by HIC-1 gene activation. Small activating RNA (saRNA) that targeted promoter region was used, and MCF-7 breast cancer cell line was selected as cell model. more...
GSE103581	breast	4	First trimester human placenta prevents breast cancer cell attachment to the matrix: the role of extracellular matrix	The placenta is a nonsupportive microenvironment for cancer cells. We showed that breast cancer cells (BCCL) were eliminated from placental implantation sites. During implantation, the placenta manipulates its surrounding matrix, which may induce BCCL elimination. Here, we explored the effect of placenta-induced ECM manipulations on BCCL. During experiments, BCCL (MCF-7/T47D) were cultured on placenta/BCCL-conditioned ECM (Matrigel used for first trimester placenta/BCCL culture and cleared by NH4OH). more...
GSE55563	ovarian	4	Identification of genes activated under CoCl2 treatment in an Sp1 dependent manner in an ovarian cancer cell line	To identify genes activated under CoCl2 treatment of a cancer cell line in an Sp1 dependent manner, we performed cDNA microarray analysis with an ovarian cancer cell line, in which Sp1 is silenced via RNA interference.
GSE53175	breast	4	Changes in gene expression during epithelial-mesenchymal transition in a breast cancer primary culture	Epithelial-Mesenchymal Transition (EMT) is an important process during normal development, but also co-opted by various cancer cells to enable them to invade and form metastases at distant sites. In this study, we examinated  changes in gene expression during EMT in breast cancer using primary culture named BCpc.
GSE51433	breast	4	Erythropoietin promotes breast tumorigenesis through tumor initiating cell self-renewal	The erythropoietin (EPO) hormone induces red blood cell production and its recombinant form is the most prescribed drug for the treatment of anemia, including that arising in cancer patients. Based on randomized trials showing that EPO administration to cancer patients result in a decreased survival, we investigated the impact of EPO modulation on tumorigenesis. Using genetically engineered mouse models of breast cancer we found that EPO promoted tumorigenesis by activating JAK/STAT signaling specifically in breast tumor initiating cells (TICs) and promoting their self-renewal. more...
GSE52602	ovarian	4	Role of the polypeptide N-acetylgalactosaminyltransferase 3 in ovarian cancer progression: possible implications in abnormal mucin O-glycosylation	Previously, we have identified the polypeptide N-acetylgalactosaminyltransferase 3 (GALNT3) gene as notably hypomethylated in low-malignant potential (LMP) and high-grade (HG) serous epithelial ovarian tumors, compared to normal ovarian tissues. Here we show that GALNT3 is strongly overexpressed in both LMP and HG serous EOC tumors, thus suggesting that epigenetic mechanisms might be implicated in GALNT3 overexpression in serous epithelial ovarian cancer (EOC). more...
GSE44354	breast	4	Identification of novel metastases-suppressor genes involved in breast cancer brain metastases (BCBM) formation	Initial screening for potential metastases suppressors down regulated by methylation was performed using breast cancer cell line models specific for site-specific metastasation. Gene expression profiling and qRT-PCR validations were conducted on tumor tissues from primary breast cancer (BC) and BCBM. CADM1 and RECK were further characterized for their methylation patterns and finally the protein expression of CADM1 was validated in a large number of BC and BCBM samples and correlated with clinico-pathologic parameters.
GSE53464	ovarian	4	Gene expression profiles of ovarian cancer cells by inhibiting Hh signaling	Analysis of  gene expression levels in response to inhibition of Hh signaling in ovarian cancer cells using a cDNA microarray technique. Results suggest that  208 genes (50.5%) were up-regulated and 204 gene (49.5%) were down-regulated after GANT61 treatment.The focal adhesion and ECM-receptor interaction cross-talk in SKOV3 cells after treatment with GANT61, and the expression change of “focal adhesion” related genes play an important role in the processes of response to GANT61-treatment.
GSE51889	breast	4	Human breast cancer cells: parental v.s lapatinib-resistant clone	Transcriptional profiling of human HER2-positive BT474 breast cancer cells comparing control untreated cancer cells with lapatinib-resistant clone established by chronic treatment with lapatinib
GSE40682	breast	4	Transcriptome profiling of breast cancer cells with Insulin like growth factor binding protein 2 (IGFBP2) knockdown	The study was carried out to identify the genes regulated upon IGFBP2 modulation in breast cancer. This will help to understand the molecular targets and biological pathways targeted by IGFBP2 in breast cancer.
GSE39356	breast	4	MiR-374a Promotes Epithelial-Mesenchymal Transition (EMT) and Metastasis of Breast Cancer (mRNA dataset)	This experiment is designed to evaluate gene expression alterations following miR-374a transduction in breast cancer cells. We find a significant elevation of Wnt/β-catenin signaling transcriptional targets.
GSE26000	breast	4	Altered antisense-to-sense transcript ratios in breast cancer: Agilent	Transcriptome profiling studies suggest that a large fraction of the genome is transcribed and many transcripts function independent of their protein coding potential. The relevance of noncoding RNAs (ncRNAs) in normal physiological processes and in tumorigenesis is increasingly recognized. Here, we describe consistent and significant differences in the distribution of sense and antisense transcripts between normal and neoplastic breast tissues. more...
GSE18953	breast	4	Effects of IGF 1 on MCF-7 breast cancer cells	To characterize the effects of IGF 1 on MCF 7 breast cancer cells, we cultured pre-starved MCF 7 cells with or without 50ng/ml IGF 1 for 24 h. We then profiled gene expression changes using Human Exonic Evidence Based Oligonucleotide (HEEBO) microarrays. After stimulation, total RNA was extracted and amplified using a modified Eberwine procedure. The amplified RNA was labeled with the fluorescent dye Cy5 and pooled with Cy3 labeled reference RNA, and then the pooled RNA was hybridized onto HEEBO microarrays. more...
GSE12811	breast	4	CAMK1D amplification implicated in epithelial-mesenchymal transition in basal-like breast cancer (expr)	Title: CAMK1D amplification implicated in epithelial-mesenchymal transition in basal-like breast cancer  Summary: Breast cancer exhibits clinical and molecular heterogeneity, where expression-profiling studies have identified five major molecular subtypes.  The basal-like subtype, expressing basal epithelial markers and negative for estrogen receptor (ER), progesterone receptor (PR) and HER2, is associated with higher overall levels of DNA copy number alteration (CNA), specific CNAs (like gain on chromosome 10p), and poor prognosis. more...
GSE53838	breast	3	Characterization of Gene Expression in ASS1-Deficient Breast Cancer Cells	Analysis of mechanism underlying the metabolic effects of ADI-PEG20 at gene expression level. The hypothesis tested in the present study was that ASS1-deficient breast cancer cells would be arginine-auxotrophs and would therefore be sensitive to arginine starvation. Results provide important information of the response of ASS1-deficient breast cancer cells to ADI-PEG20-treatment, such as the suppression of mRNAs encoding mitochondrial respiratory chain proteins.
GSE50850	ovarian	3	Epithelial Ovarian Cancer Cells: Control vs. miR-506 Transfected	Transcriptional profiling of untreated ovarian cancer cells and ovarian cancer cells miR-506 transfected with 48hours.
GSE45613	breast	3	Expression data from CD44-knockdown MDA-MB-231 human breast cancer cells.	CD44, an adhesion molecule that binds to extracellular matrix, primarily to hyaluronan (HA), has been implicated in cancer cell migration, invasion, and metastasis. CD44 has also recently been recognized as a marker for stem cells of several types of cancer. However, the roles of CD44 in the development of bone metastasis still remain unclear. To explore this issue, we established the MDA-MB-231 human breast cancer cells stably expressing short hairpin RNA against CD44.
GSE20435	breast	3	HOTAIR transfected Breast Cancer Cells	MDA-MB-231 Breast Cancer Cells were infected by retroviral expression with either VECTOR or HOTAIR.  To test the role of polycomb in HOTAIR mediated gene expression, MDA-MB-231 HOTAIR cells were infected with short hairpin retroviral vectors targeting SUZ12 or EZH2. A genetic modification design type is where an organism(s) has had genetic material removed, rearranged, mutagenized or added, such as knock out.
GSE18054	ovarian	3	Gene Expression Profiles of a Progression Model of Human Ovarian Cancer	We have earlier reported the establishment of a comprehensive in vitro panel of 19 isogenic cell lines from a patient with Grade IV serous adenocarcinoma (Bapat et al. Cancer Research. 2005).  In this study, one of the cell lines termed as A4 at early passes (less than ~20) was assessed as being non-tumorigenic since it failed to exhibit anchorage independence growth in soft agar and form tumors in nude mice. more...
GSE102402	breast	2	Posttranscriptional upregulation of HER3 by HER2 mRNA induces Trastuzumab Resistance in breast cancer	To explore HER2 3’-UTR-dependent transcriptional programs, we analyzed gene-expression profiles of T47D cells transfected with HER2 3’-UTR.
GSE55947	breast	2	SUV420H2 over-expression affects on gene expression in human breast cancer MDA-MB-231 cells	Analysis of breast cancer MDA-MB-231 cells stably over-expressing SUV420H2, a histone H4K20 methyltransferase. Several genes were significantly up- or down-regulated. Results provide insight into the molecular mechanism by which H4K20me3 contributes to gene expression.
GSE49236	breast	2	Gene expression of T47D-MTVL human breast cancer cells growing in normal conditions	Basal gene expression of T47D-MTVL human breast cancer cells growing in normal conditions
GSE46477	ovarian	2	Inhibition of RUNX2 transcriptional activity blocks the proliferation, migration and invasion of epithelial ovarian carcinoma cells	Previously, we have identified the RUNX2 gene as hypomethylated and overexpressed in post-chemotherapy (CT) primary cultures derived from epithelial ovarian cancer (EOC) patients, when compared to primary cultures derived from matched primary (prior to CT) tumors. However, we found no differences in the RUNX2 methylation in primary EOC tumors and EOC omental metastases, suggesting that DNA methylation-based epigenetic mechanisms have no impact on RUNX2 expression in advanced (metastatic) stage of the disease. more...
GSE39337	ovarian	2	Distinct genetic alterations occur in ovarian tumor cells selected for combined resistance to carboplatin and docetaxel	Background: Current protocols for the treatment of ovarian cancer include combination chemotherapy with a platinating agent and a taxane. However, many patients experience relapse of their cancer and the development of drug resistance is not uncommon, making successful second line therapy difficult to achieve. The objective of this study was to develop a cell line resistant to both carboplatin and docetaxel (dual drug resistant ovarian cell line A2780CBNDXL), along with single agent resistant lines (docetaxel resistant A2780DXL and carboplatin resistant A2780CBN), to investigate the mechanisms which underlie the development of dual drug resistance. more...
GSE34396	ovarian	2	Difference expression analyses before and after human fucosyltransferase gene 1 transfection into ovarian  cancer clear cell line	75% ovarian epithelial tumor overexpresses Lewis y antigen, which notably strenthen such malignant biological behaviors as metastasis, drug resistance and proliferation. The key enzyme of Lewis y synthesis is human fucosyltransferase gene 1(hfut1).  Through transfecting hfut1 into Lewis y low expressing cell line RMG-I, we got a pair of cell lines. We hypothesized that Lewis y antigen plays a major role in ovarian canceration . more...
GSE17630	breast	2	HER2-positive breast cancer cells resistant to trastuzumab and lapatinib lose reliance upon HER2 and are sensitive to the multitargeted kinase inhibitor sorafenib	HER2 targeting with trastuzumab has changed the prognosis of breast cancer patients carrying amplification and/or overexpression of this oncogene. Despite this progress, however, resistance to trastuzumab occurs in the vast majority of patients. Newer anti-HER2 therapies, like the dual tyrosine-kinase inhibitor (TKI) lapatinib, show antitumor activity in a limited proportion of patients, indicating that HER2 can be still exploited as a target after trastuzumab failure. more...
